name	type	country	administered_by	location	year_est	year_closed	display_year_est	display_year_closed	status	notes	auto_tooltip	lat	lon	size
KinnesCove/MadderCliffs		Tourism			2008	2009						-63.18	-56.27	105
RossSea		Tourism			2008	2009						-75	-175	105
BrabantIsland		Tourism			2008	2009						-64.15	-62.2	104
LivingstonIsland		Tourism			2008	2009						-62.36	-60.3	102
GandIsland		Tourism			2008	2009						-64.24	-62.51	101
DoumerIsland		Tourism			2008	2009						-64.51	-63.35	88
ErebusandTerrorGulf		Tourism			2008	2009						-63.55	-56.4	85
BeascocheaBay		Tourism			2008	2009						-65.3	-64	76
LeithCove		Tourism			2008	2009						-64.52	-62.5	55
JennyIsland		Tourism			2008	2009						-67.44	-68.24	52
GirardBay		Tourism			2008	2009						-65.8	-64	50
ViewPoint		Tourism			2008	2009						-63.33	-57.22	48
FergusonChannel		Tourism			2008	2009						-64.54	-62.59	26
TwoHummockIsland		Tourism			2008	2009						-64.8	-61.42	12
PlataPassage		Tourism			2008	2009						-64.4	-62.1	8
VortexIsland		Tourism			2008	2009						-63.44	-57.38	6
CuvervilleIsland		Tourism			2007	2008						-64.41	-62.38	24880
HalfMoonIsland-ChinstrapColony		Tourism			2007	2008						-62.36	-59.55	19598
GoudierIsland		Tourism			2007	2008						-64.5	-63.3	19152
NeumayerChannel		Tourism			2007	2008						-64.47	-63.3	17740
WhalersBay		Tourism			2007	2008						-62.59	-60.34	17529
NekoHarbor		Tourism			2007	2008						-64.5	-62.33	17488
DeceptionIsland		Tourism			2007	2008						-62.57	-60.38	16936
LemaireChannel		Tourism			2007	2008						-65.4	-63.57	16899
ParadiseHarbor		Tourism			2007	2008						-64.51	-62.54	15510
PetermannIsland		Tourism			2007	2008						-65.1	-64.1	14449
AntarcticSound		Tourism			2007	2008						-63.2	-56.45	11956
JouglaPoint		Tourism			2007	2008						-64.49	-63.3	11777
ElephantIsland		Tourism			2007	2008						-61.1	-55.14	11598
ArctowskiStation		Tourism			2007	2008						-62.9	-58.28	11316
VernadskyStation		Tourism			2007	2008						-65.14	-64.15	10694
AdmiraltyBay		Tourism			2007	2008						-62.1	-58.25	10639
WaterboatPoint/GonzalezVidelaStation		Tourism			2007	2008						-64.49	-62.51	9293
AitchoIslands-BarrientosIsland		Tourism			2007	2008						-62.24	-59.47	7852
BrownBluff		Tourism			2007	2008						-63.32	-56.55	7593
PleneauIsland		Tourism			2007	2008						-65.6	-64.4	7070
GerlacheStrait		Tourism			2007	2008						-64.3	-62.2	6814
DallmannBay		Tourism			2007	2008						-64.2	-62.55	6624
SkontorpCove		Tourism			2007	2008						-64.54	-62.52	5664
DancoIsland		Tourism			2007	2008						-64.44	-62.37	5555
MelchiorIslands		Tourism			2007	2008						-64.19	-62.57	5312
PauletIsland		Tourism			2007	2008						-63.35	-55.47	5302
AndvordBay		Tourism			2007	2008						-64.5	-62.39	5073
ErreraChannel		Tourism			2007	2008						-64.42	-62.36	4936
YankeeHarbor		Tourism			2007	2008						-62.32	-59.47	4497
TelefonBay		Tourism			2007	2008						-62.56	-60.4	4395
HopeBay		Tourism			2007	2008						-63.23	-57	3798
BellingshausenStation		Tourism			2007	2008						-62.11	-58.57	3434
PointWild		Tourism			2007	2008						-61.6	-54.52	3431
WilhelminaBay		Tourism			2007	2008						-64.38	-62.1	3429
PenguinIsland		Tourism			2007	2008						-62.6	-57.54	2692
FreiStation		Tourism			2007	2008						-62.12	-58.57	2660
HannahPoint		Tourism			2007	2008						-62.39	-60.37	2490
SnowHillIsland-EmperorPenguinColony		Tourism			2007	2008						-64.3	-57.26	2341
SnowHillIsland-IceEdgeLanding		Tourism			2007	2008						-64.28	-57.1	2341
SnowHillIsland-Nordenskjold'sHut		Tourism			2007	2008						-64.28	-57.12	2341
PalmerStation		Tourism			2007	2008						-64.46	-64.5	2320
EnterpriseIsland		Tourism			2007	2008						-64.32	-62	2319
GibbsIsland		Tourism			2007	2008						-61.28	-55.34	2157
OrneHarbor		Tourism			2007	2008						-64.37	-62.32	2117
BailyHead		Tourism			2007	2008						-62.58	-60.29	2007
PendulumCove		Tourism			2007	2008						-62.56	-60.36	1899
CiervaCove		Tourism			2007	2008						-64.9	-60.53	1859
DamoyPoint/DorianBay		Tourism			2007	2008						-64.49	-63.32	1730
YalourIslands		Tourism			2007	2008						-65.14	-64.1	1685
MikkelsenHarbor(D'Hainaut)		Tourism			2007	2008						-63.54	-60.47	1508
BransfieldStrait		Tourism			2007	2008						-63	-59	1507
PortCharcot		Tourism			2007	2008						-65.4	-64	1458
FishIslands		Tourism			2007	2008						-66.2	-65.25	1425
MaxwellBay,KingGeorgeIsland		Tourism			2007	2008						-62.15	-58.51	1357
DetailleIsland		Tourism			2007	2008						-66.52	-66.48	1337
TurretPoint		Tourism			2007	2008						-62.5	-57.55	1258
FoynHarbor		Tourism			2007	2008						-64.33	-62.1	1196
OrneIslands		Tourism			2007	2008						-64.4	-62.4	1099
DevilIsland		Tourism			2007	2008						-63.48	-57.17	1067
PortFoster		Tourism			2007	2008						-62.57	-60.39	1031
UsefulIsland		Tourism			2007	2008						-64.43	-62.52	982
ProspectPoint		Tourism			2007	2008						-66.1	-65.21	963
OrcadasStation		Tourism			2007	2008						-60.44	-44.44	897
PortalPoint		Tourism			2007	2008						-64.3	-61.46	855
DuthiersPoint		Tourism			2007	2008						-64.48	-62.49	822
KinnesCove/MadderCliffs		Tourism			2007	2008						-63.18	-56.27	717
FrenchPassage		Tourism			2007	2008						-65.1	-64.2	714
StoningtonIsland		Tourism			2007	2008						-68.11	-67	688
HuntIsland		Tourism			2007	2008						-64.2	-62.8	668
NeptunesBellows		Tourism			2007	2008						-63	-60.34	601
AstrolabeIsland		Tourism			2007	2008						-63.17	-58.4	594
GourdinIsland		Tourism			2007	2008						-63.12	-57.18	580
HorseshoeIsland		Tourism			2007	2008						-67.51	-67.12	564
WeddellSea		Tourism			2007	2008						-72	-45	563
CrystalSound		Tourism			2007	2008						-66.23	-66.3	546
HydrurgaRocks		Tourism			2007	2008						-64.8	-61.37	529
D'UrvilleMonument		Tourism			2007	2008						-63.25	-56.18	513
Dumontd'UrvilleStation		Tourism			2007	2008						-66.39	140	482
RongeIsland/GeorgesPoint		Tourism			2007	2008						-64.43	-62.41	468
RongeIsland/KerrPoint		Tourism			2007	2008						-64.42	-62.37	468
RongeIslandKetleyPoint		Tourism			2007	2008						-64.42	-62.46	468
WinterIsland		Tourism			2007	2008						-65.15	-64.16	458
RobertPoint		Tourism			2007	2008						-62.28	-59.23	454
WalkerBay(byHannahPoint)		Tourism			2007	2008						-62.38	-60.42	442
HovgaardIsland		Tourism			2007	2008						-65.8	-64.8	422
HanusseBay		Tourism			2007	2008						-66.57	-67.3	418
McFarlaneStrait		Tourism			2007	2008						-62.32	-59.55	394
CapeLookout		Tourism			2007	2008						-61.16	-55.12	376
CockburnIsland		Tourism			2007	2008						-64.12	-56.51	351
CapeDenison		Tourism			2007	2008						-67	142.4	336
SignyIslandStation		Tourism			2007	2008						-66.55	-67.1	308
LeithCove		Tourism			2007	2008						-64.52	-62.5	279
SanMartinStation		Tourism			2007	2008						-68.7	-67.6	268
ArdleyIsland		Tourism			2007	2008						-62.13	-58.56	267
TrinityIsland		Tourism			2007	2008						-54	-38.1	240
GrahamPassage		Tourism			2007	2008						-64.24	-61.31	233
SpigotPeak		Tourism			2007	2008						-64.38	-62.34	231
JennyIsland		Tourism			2007	2008						-67.44	-68.24	225
PeltierChannel		Tourism			2007	2008						-64.52	-63.32	222
RedRockRidge		Tourism			2007	2008						-68.18	-67.8	212
MertzGlacierTongue		Tourism			2007	2008						-67.1	145.3	204
MonroeIsland		Tourism			2007	2008						-60.36	-46.3	204
McMurdoStation		Tourism			2007	2008						-77.5	166.4	194
TaylorValley/CanadaGlacier		Tourism			2007	2008						-77.39	162.56	189
CharlotteBay		Tourism			2007	2008						-64.33	-61.39	185
ShingleCove		Tourism			2007	2008						-60.39	-45.34	184
WebbIsland		Tourism			2007	2008						-67.27	-67.56	180
VortexIsland		Tourism			2007	2008						-63.44	-57.38	176
CapeAdare		Tourism			2007	2008						-71.17	170.14	173
CoronationIsland		Tourism			2007	2008						-60.37	-45.35	172
FridtjofSound		Tourism			2007	2008						-63.34	-56.43	169
ArgentineIslandsOther		Tourism			2007	2008						-65.15	-64.16	161
RotheraStation		Tourism			2007	2008						-67.34	-68.7	161
LaurieIsland		Tourism			2007	2008						-60.44	-44.37	156
FortPoint		Tourism			2007	2008						-62.34	-59.34	150
CapeRoyds		Tourism			2007	2008						-77.32	-166.8	147
CapeEvans		Tourism			2007	2008						-77.38	166.24	142
LivingstonIsland		Tourism			2007	2008						-62.36	-60.3	133
ErebusandTerrorGulf		Tourism			2007	2008						-63.55	-56.4	128
MargueriteBay		Tourism			2007	2008						-68.3	-68.3	121
TheGullet		Tourism			2007	2008						-67.1	-67.38	119
BongrainPoint		Tourism			2007	2008						-67.43	-67.48	110
GandIsland		Tourism			2007	2008						-64.24	-62.51	97
LiegeIsland		Tourism			2007	2008						-64.2	-61.55	97
BrabantIsland		Tourism			2007	2008						-64.15	-62.2	91
PresidentHead		Tourism			2007	2008						-62.44	-61.12	90
McMurdoSound		Tourism			2007	2008						-77.31	165.1	85
AndresenIsland		Tourism			2007	2008						-66.53	-66.4	76
FalseBay		Tourism			2007	2008						-62.43	-60.22	70
FergusonChannel		Tourism			2007	2008						-64.54	-62.59	65
GabrieldeCastillaStation		Tourism			2007	2008						-62.58	-60.4	64
EnglishStrait		Tourism			2007	2008						-62.27	-59.38	54
PlataPassage		Tourism			2007	2008						-64.4	-62.1	53
FranklinIsland		Tourism			2007	2008						-76.5	168.19	49
RossIceShelf		Tourism			2007	2008						-81.3	-175	49
BeascocheaBay		Tourism			2007	2008						-65.3	-64	45
VegaIsland		Tourism			2007	2008						-63.5	-57.25	45
CapeBird		Tourism			2007	2008						-77.9	166.42	44
DoumerIsland		Tourism			2007	2008						-64.51	-63.35	44
GuepratteIsland		Tourism			2007	2008						-64.3	-63	42
EckenerPoint		Tourism			2007	2008						-64.26	-61.36	39
JabetPeak		Tourism			2007	2008						-64.49	-63.28	28
CapeHerschel		Tourism			2007	2008						-64.4	-61.2	21
LagoonIsland		Tourism			2007	2008						-67.35	-68.16	16
PenolaStrait		Tourism			2007	2008						-65.1	-64.7	12
NansenIsland		Tourism			2007	2008						-64.35	-62.6	10
TwoHummockIsland		Tourism			2007	2008						-64.8	-61.42	10
GirardBay		Tourism			2007	2008						-65.8	-64	9
CapeTuxen		Tourism			2007	2008						-65.16	-64.8	5
BlaiklockIsland		Tourism			2007	2008						-67.33	-67.4	4
LemaireChannel		Tourism			2006	2007						-65.4	-63.57	45191
CuvervilleIsland		Tourism			2006	2007						-64.41	-62.38	26768
GoudierIsland		Tourism			2006	2007						-64.5	-63.3	21930
NekoHarbor		Tourism			2006	2007						-64.5	-62.33	21716
WhalersBay		Tourism			2006	2007						-62.59	-60.34	20301
NeumayerChannel		Tourism			2006	2007						-64.47	-63.3	18239
DeceptionIsland		Tourism			2006	2007						-62.57	-60.38	16254
PetermannIsland		Tourism			2006	2007						-65.1	-64.1	16071
ElephantIsland		Tourism			2006	2007						-61.1	-55.14	11945
BrownBluff		Tourism			2006	2007						-63.32	-56.55	11776
JouglaPoint		Tourism			2006	2007						-64.49	-63.3	11345
WaterboatPoint/GonzalezVidelaStation		Tourism			2006	2007						-64.49	-62.51	10400
VernadskyStation		Tourism			2006	2007						-65.14	-64.15	10216
AntarcticSound		Tourism			2006	2007						-63.2	-56.45	9232
PauletIsland		Tourism			2006	2007						-63.35	-55.47	8273
DancoIsland		Tourism			2006	2007						-64.44	-62.37	8084
AdmiraltyBay		Tourism			2006	2007						-62.1	-58.25	7903
GerlacheStrait		Tourism			2006	2007						-64.3	-62.2	7587
SkontorpCove		Tourism			2006	2007						-64.54	-62.52	7235
WilhelminaBay		Tourism			2006	2007						-64.38	-62.1	7162
HopeBay		Tourism			2006	2007						-63.23	-57	5744
ErreraChannel		Tourism			2006	2007						-64.42	-62.36	5318
TelefonBay		Tourism			2006	2007						-62.56	-60.4	5183
PointWild		Tourism			2006	2007						-61.6	-54.52	5047
PendulumCove		Tourism			2006	2007						-62.56	-60.36	4944
DevilIsland		Tourism			2006	2007						-63.48	-57.17	4661
MelchiorIslands		Tourism			2006	2007						-64.19	-62.57	4627
YalourIslands		Tourism			2006	2007						-65.14	-64.1	4614
YankeeHarbor		Tourism			2006	2007						-62.32	-59.47	4063
BailyHead		Tourism			2006	2007						-62.58	-60.29	3810
DamoyPoint/DorianBay		Tourism			2006	2007						-64.49	-63.32	3191
CiervaCove		Tourism			2006	2007						-64.9	-60.53	3148
PenguinIsland		Tourism			2006	2007						-62.6	-57.54	2541
EnterpriseIsland		Tourism			2006	2007						-64.32	-62	2204
NeptunesBellows		Tourism			2006	2007						-63	-60.34	2111
FreiStation		Tourism			2006	2007						-62.12	-58.57	1917
ShingleCove		Tourism			2006	2007						-60.39	-45.34	1774
PeltierChannel		Tourism			2006	2007						-64.52	-63.32	1740
DoumerIsland		Tourism			2006	2007						-64.51	-63.35	1650
BransfieldStrait		Tourism			2006	2007						-63	-59	1626
DetailleIsland		Tourism			2006	2007						-66.52	-66.48	1482
PortalPoint		Tourism			2006	2007						-64.3	-61.46	1411
DallmannBay		Tourism			2006	2007						-64.2	-62.55	1333
RobertPoint		Tourism			2006	2007						-62.28	-59.23	1254
CapeLookout		Tourism			2006	2007						-61.16	-55.12	1227
UsefulIsland		Tourism			2006	2007						-64.43	-62.52	1201
OrneIslands		Tourism			2006	2007						-64.4	-62.4	1066
KinnesCove/MadderCliffs		Tourism			2006	2007						-63.18	-56.27	1041
GrahamPassage		Tourism			2006	2007						-64.24	-61.31	944
SpigotPeak		Tourism			2006	2007						-64.38	-62.34	893
GourdinIsland		Tourism			2006	2007						-63.12	-57.18	885
CrystalSound		Tourism			2006	2007						-66.23	-66.3	865
ProspectPoint		Tourism			2006	2007						-66.1	-65.21	865
FridtjofSound		Tourism			2006	2007						-63.34	-56.43	806
StoningtonIsland		Tourism			2006	2007						-68.11	-67	767
FalseBay		Tourism			2006	2007						-62.43	-60.22	723
PortCharcot		Tourism			2006	2007						-65.4	-64	722
FishIslands		Tourism			2006	2007						-66.2	-65.25	689
PenolaStrait		Tourism			2006	2007						-65.1	-64.7	667
FranklinIsland		Tourism			2006	2007						-76.5	168.19	661
WinterIsland		Tourism			2006	2007						-65.15	-64.16	651
VortexIsland		Tourism			2006	2007						-63.44	-57.38	631
HeroinaIsland		Tourism			2006	2007						-63.24	-54.36	604
PortFoster		Tourism			2006	2007						-62.57	-60.39	600
AndvordBay		Tourism			2006	2007						-64.5	-62.39	571
TayHead		Tourism			2006	2007						-63.21	-55.34	567
HovgaardIsland		Tourism			2006	2007						-65.8	-64.8	560
CapeRoyds		Tourism			2006	2007						-77.32	-166.8	519
CapeEvans		Tourism			2006	2007						-77.38	166.24	510
HydrurgaRocks		Tourism			2006	2007						-64.8	-61.37	478
AstrolabeIsland		Tourism			2006	2007						-63.17	-58.4	445
SpertIsland		Tourism			2006	2007						-63.51	-60.57	437
TaylorValley/CanadaGlacier		Tourism			2006	2007						-77.39	162.56	436
PeterIIsland		Tourism			2006	2007						-68.47	-90.35	396
RongeIsland/GeorgesPoint		Tourism			2006	2007						-64.43	-62.41	380
RongeIsland/KerrPoint		Tourism			2006	2007						-64.42	-62.37	380
RongeIslandKetleyPoint		Tourism			2006	2007						-64.42	-62.46	380
HorseshoeIsland		Tourism			2006	2007						-67.51	-67.12	355
WeddellSea		Tourism			2006	2007						-72	-45	342
RossIceShelf		Tourism			2006	2007						-81.3	-175	340
ErebusandTerrorGulf		Tourism			2006	2007						-63.55	-56.4	320
BeascocheaBay		Tourism			2006	2007						-65.3	-64	314
CapeAdare		Tourism			2006	2007						-71.17	170.14	282
TheGullet		Tourism			2006	2007						-67.1	-67.38	259
CurtissBay		Tourism			2006	2007						-64.2	-60.47	236
McFarlaneStrait		Tourism			2006	2007						-62.32	-59.55	232
AdmiraltySound		Tourism			2006	2007						-64.2	-57.1	215
HannahPoint		Tourism			2006	2007						-62.39	-60.37	214
SouthOrkneyIslands		Tourism			2006	2007						-60.35	-45.3	192
OrneHarbor		Tourism			2006	2007						-64.37	-62.32	183
SandefjordBay		Tourism			2006	2007						-60.37	-46.3	169
ArdleyIsland		Tourism			2006	2007						-62.13	-58.56	159
TurretPoint		Tourism			2006	2007						-62.5	-57.55	157
LeithCove		Tourism			2006	2007						-64.52	-62.5	134
CoronationIsland		Tourism			2006	2007						-60.37	-45.35	128
EnglishStrait		Tourism			2006	2007						-62.27	-59.38	120
HiddenBay		Tourism			2006	2007						-65.2	-63.46	117
GeorgeVISound		Tourism			2006	2007						-71	-68	105
DangerIslands		Tourism			2006	2007						-63.25	-54.4	90
RossSea		Tourism			2006	2007						-75	-175	85
CapeValentine		Tourism			2006	2007						-61.6	-54.39	84
FergusonChannel		Tourism			2006	2007						-64.54	-62.59	78
NelsonIsland		Tourism			2006	2007						-62.18	-59.3	63
BeerIsland		Tourism			2006	2007						-66	-65.41	51
EdinburghHill		Tourism			2006	2007						-62.33	-60.1	8
ActiveSound		Tourism			2005	2006						-63.25	-56.1	0
AdelaideIsland		Tourism			2005	2006						-67.15	-68.3	0
AdmiraltyBay		Tourism			2005	2006						-62.1	-58.25	3052
AdmiraltySound		Tourism			2005	2006						-64.2	-57.1	116
AguirrePassage		Tourism			2005	2006						-64.29	-62.3	0
AitchoIslands-BarrientosIsland		Tourism			2005	2006						-62.24	-59.47	0
AmphibolitePoint		Tourism			2005	2006						-60.41	-45.21	0
AndresenIsland		Tourism			2005	2006						-66.53	-66.4	0
AndvordBay		Tourism			2005	2006						-64.5	-62.39	75
AntarcticSound		Tourism			2005	2006						-63.2	-56.45	5363
ArctowskiStation		Tourism			2005	2006						-62.9	-58.28	0
ArdleyIsland		Tourism			2005	2006						-62.13	-58.56	127
ArgentineIslandsOther		Tourism			2005	2006						-65.15	-64.16	1610
ArthurHarbor		Tourism			2005	2006						-64.46	-64.4	0
AstrolabeIsland		Tourism			2005	2006						-63.17	-58.4	1153
BagnoldPoint		Tourism			2005	2006						-67.02	-67.29	0
BailyHead		Tourism			2005	2006						-62.58	-60.29	5337
BaldHead		Tourism			2005	2006						-63.38	-57.36	0
BallenyIslands		Tourism			2005	2006						-66.55	163.2	3
BancroftBay		Tourism			2005	2006						-64.34	-61.52	0
BayofWhales		Tourism			2005	2006						-78.3	-164.2	108
BeakIsland		Tourism			2005	2006						-63.37	-57.18	0
BearPeninsula		Tourism			2005	2006						-74.34	-111	0
BeascocheaBay		Tourism			2005	2006						-65.3	-64	0
BeerIsland		Tourism			2005	2006						-66	-65.41	0
BeethovenPeninsula		Tourism			2005	2006						-71.43	-73.4	0
BellingshausenSea		Tourism			2005	2006						-71	-85	0
BellingshausenStation		Tourism			2005	2006						-62.11	-58.57	0
BenedenHead		Tourism			2005	2006						-64.46	-62.42	0
BennettIslands		Tourism			2005	2006						-66.56	-67.4	0
BerthelotIslands		Tourism			2005	2006						-65.2	-64.9	0
BiscoeBay		Tourism			2005	2006						-64.48	-63.49	0
BiscoePoint		Tourism			2005	2006						-64.49	-63.49	0
BismarckStrait		Tourism			2005	2006						-64.51	-64	0
BlaiklockIsland		Tourism			2005	2006						-67.33	-67.4	0
BlindBay		Tourism			2005	2006						-67.31	-66.31	0
BongrainPoint		Tourism			2005	2006						-67.43	-67.48	0
BorgenBay		Tourism			2005	2006						-64.45	-63.3	0
BotanyBay		Tourism			2005	2006						-63.41	-57.53	0
BourgeoisFjord		Tourism			2005	2006						-67.4	-67.5	0
BoydStrait		Tourism			2005	2006						-62.5	-62	0
BrabantIsland		Tourism			2005	2006						-64.15	-62.2	122
BransfieldStrait		Tourism			2005	2006						-63	-59	0
BreakwaterIsland		Tourism			2005	2006						-64.48	-63.14	0
BrialmontCove		Tourism			2005	2006						-64.15	-60.58	0
BriandFjord		Tourism			2005	2006						-65.2	63.4	0
BrownBluff		Tourism			2005	2006						-63.32	-56.55	8840
BrownsonIslands		Tourism			2005	2006						-74.1	-103.36	0
BrydeIsland		Tourism			2005	2006						-64.52	-63.2	0
BulsBay		Tourism			2005	2006						-64.23	-62.19	0
ButlerPassage		Tourism			2005	2006						-64.58	-63.44	0
CapeAdare		Tourism			2005	2006						-71.17	170.14	983
CapeBird		Tourism			2005	2006						-77.9	166.42	0
CapeColbeck		Tourism			2005	2006						-77.7	-158.1	0
CapeCrozier		Tourism			2005	2006						-77.31	169.24	0
CapeDenison		Tourism			2005	2006						-67	142.4	0
CapeEvans		Tourism			2005	2006						-77.38	166.24	334
CapeHallett		Tourism			2005	2006						-72.19	170.16	836
CapeHerschel		Tourism			2005	2006						-64.4	-61.2	0
CapeLookout		Tourism			2005	2006						-61.16	-55.12	1702
CapeRoyds		Tourism			2005	2006						-77.32	-166.8	528
CapeSobral		Tourism			2005	2006						-64.34	-59.33	0
CapeTuxen		Tourism			2005	2006						-65.16	-64.8	10
CapeValentine		Tourism			2005	2006						-61.6	-54.39	376
CarlssonBay		Tourism			2005	2006						-64.24	-58.04	0
CarrollInlet		Tourism			2005	2006						-73.18	-78.3	0
CenturionGlacier		Tourism			2005	2006						-68.12	-66.55	0
CharcotBay		Tourism			2005	2006						-63.48	-59.31	0
CharcotIsland		Tourism			2005	2006						-69.57	-75.25	0
CharlotteBay		Tourism			2005	2006						-64.33	-61.39	0
ChiloéPoint		Tourism			2005	2006						-65.31	-63.58	0
ChiriguanoBay		Tourism			2005	2006						-64.28	-62.31	0
CiervaCove		Tourism			2005	2006						-64.9	-60.53	2518
CockburnIsland		Tourism			2005	2006						-64.12	-56.51	0
ColbeckBay		Tourism			2005	2006						-71.37	170.4	0
CollinsBay		Tourism			2005	2006						-65.21	-64.4	0
CombRidge		Tourism			2005	2006						-63.55	-57.28	0
ConesaPoint		Tourism			2005	2006						-64.52	-62.5	0
CoronationIsland		Tourism			2005	2006						-60.37	-45.35	706
CoulmanIsland		Tourism			2005	2006						-73.28	169.45	1189
CroftBay		Tourism			2005	2006						-64	-57.45	0
CrokerPassage		Tourism			2005	2006						-64	-61.42	0
CrystalSound		Tourism			2005	2006						-66.23	-66.3	547
CurtissBay		Tourism			2005	2006						-64.2	-60.47	384
CuvervilleIsland		Tourism			2005	2006						-64.41	-62.38	17796
D'UrvilleMonument		Tourism			2005	2006						-63.25	-56.18	77
DallmannBay		Tourism			2005	2006						-64.2	-62.55	1506
DamoyPoint/DorianBay		Tourism			2005	2006						-64.49	-63.32	0
DancoIsland		Tourism			2005	2006						-64.44	-62.37	5891
DangerIslands		Tourism			2005	2006						-63.25	-54.4	187
DebenhamIslands		Tourism			2005	2006						-68.8	-67.7	0
DeceptionIsland		Tourism			2005	2006						-62.57	-60.38	2580
DelaiteIsland		Tourism			2005	2006						-64.33	-62.12	0
DetailleIsland		Tourism			2005	2006						-66.52	-66.48	419
DevilIsland		Tourism			2005	2006						-63.48	-57.17	4763
DiscoveryBay		Tourism			2005	2006						-62.29	-59.43	0
DogsLegFjord		Tourism			2005	2006						-67.43	-66.52	0
DoumerIsland		Tourism			2005	2006						-64.51	-63.35	20
Dumontd'UrvilleStation		Tourism			2005	2006						-66.39	140	0
DuperréBay		Tourism			2005	2006						-64.27	-62.4	0
DurochIslands		Tourism			2005	2006						-63.18	-57.54	0
DuseBay		Tourism			2005	2006						-63.32	-57.15	0
DuthiersPoint		Tourism			2005	2006						-64.48	-62.49	249
EckenerPoint		Tourism			2005	2006						-64.26	-61.36	0
EdinburghHill		Tourism			2005	2006						-62.33	-60.1	6
ElephantIsland		Tourism			2005	2006						-61.1	-55.14	2645
ElephantPoint		Tourism			2005	2006						-62.41	-60.52	0
EnglishStrait		Tourism			2005	2006						-62.27	-59.38	0
EnterpriseIsland		Tourism			2005	2006						-64.32	-62	2643
ErebusandTerrorGulf		Tourism			2005	2006						-63.55	-56.4	0
ErreraChannel		Tourism			2005	2006						-64.42	-62.36	71
EzcurraInlet		Tourism			2005	2006						-62.9	-58.32	0
FalseBay		Tourism			2005	2006						-62.43	-60.22	24
FalseIsland		Tourism			2005	2006						-64.31	-62.53	0
FalseIslandPoint		Tourism			2005	2006						-63.55	-57.2	0
FergusonChannel		Tourism			2005	2006						-64.54	-62.59	0
FildesPeninsula		Tourism			2005	2006						-62.12	-58.58	0
FishIslands		Tourism			2005	2006						-66.2	-65.25	1122
FortPoint		Tourism			2005	2006						-62.34	-59.34	0
FournierBay		Tourism			2005	2006						-64.31	-63.6	0
FoynHarbor		Tourism			2005	2006						-64.33	-62.1	0
FoynIsland		Tourism			2005	2006						-71.56	171.04	0
FranklinIsland		Tourism			2005	2006						-76.5	168.19	745
FreiStation		Tourism			2005	2006						-62.12	-58.57	2472
FrenchPassage		Tourism			2005	2006						-65.1	-64.2	0
FreudPassage		Tourism			2005	2006						-64.17	-62.8	0
FridtjofSound		Tourism			2005	2006						-63.34	-56.43	0
GabrieldeCastillaStation		Tourism			2005	2006						-62.58	-60.4	0
GalindezIsland		Tourism			2005	2006						-65.15	-64.15	0
GandIsland		Tourism			2005	2006						-64.24	-62.51	0
GastonIslands		Tourism			2005	2006						-64.28	-61.5	0
GeorgeVISound		Tourism			2005	2006						-71	-68	0
GerlacheStrait		Tourism			2005	2006						-64.3	-62.2	2406
GibbonBay		Tourism			2005	2006						-60.39	-45.11	0
GibbsIsland		Tourism			2005	2006						-61.28	-55.34	0
GirardBay		Tourism			2005	2006						-65.8	-64	0
GoudierIsland		Tourism			2005	2006						-64.5	-63.3	18914
GourdinIsland		Tourism			2005	2006						-63.12	-57.18	659
GrahamPassage		Tourism			2005	2006						-64.24	-61.31	619
GrandidierChannel		Tourism			2005	2006						-65.35	-64.45	0
GuepratteIsland		Tourism			2005	2006						-64.3	-63	0
GuyouIslands		Tourism			2005	2006						-65.3	-63.24	0
HalfMoonIsland-ChinstrapColony		Tourism			2005	2006						-62.36	-59.55	0
HannahPoint		Tourism			2005	2006						-62.39	-60.37	7504
HanusseBay		Tourism			2005	2006						-66.57	-67.3	0
HarryIsland		Tourism			2005	2006						-64.8	-61.59	0
HerbertSound		Tourism			2005	2006						-63.55	-57.4	0
HeroinaIsland		Tourism			2005	2006						-63.24	-54.36	369
HiddenBay		Tourism			2005	2006						-65.2	-63.46	0
HoldfastPoint		Tourism			2005	2006						-66.28	-66.21	0
HopeBay		Tourism			2005	2006						-63.23	-57	207
HorseshoeIsland		Tourism			2005	2006						-67.51	-67.12	0
HovgaardIsland		Tourism			2005	2006						-65.8	-64.8	202
HughesBay		Tourism			2005	2006						-128.27	-122.33	0
HuntIsland		Tourism			2005	2006						-64.2	-62.8	0
HutPoint		Tourism			2005	2006						-77.5	166.38	0
HydrurgaRocks		Tourism			2005	2006						-64.8	-61.37	528
JabetPeak		Tourism			2005	2006						-64.49	-63.28	0
JamesRossIsland		Tourism			2005	2006						-64.1	-57.45	93
JennyIsland		Tourism			2005	2006						-67.44	-68.24	0
JouglaPoint		Tourism			2005	2006						-64.49	-63.3	9405
KayakBay		Tourism			2005	2006						-64.18	-62.13	0
KingGeorgeBay		Tourism			2005	2006						-62.6	-58.5	0
KinnesCove/MadderCliffs		Tourism			2005	2006						-63.18	-56.27	901
LagarrigueCove		Tourism			2005	2006						-64.39	-62.34	0
LagoonIsland		Tourism			2005	2006						-67.35	-68.16	0
LainezPoint		Tourism			2005	2006						-67.41	-67.49	0
LallemandFjord		Tourism			2005	2006						-67.5	-66.45	0
LapeyrèreBay		Tourism			2005	2006						-64.24	-63.15	0
LarsenInlet		Tourism			2005	2006						-64.25	-59.28	0
LaurieIsland		Tourism			2005	2006						-60.44	-44.37	0
LavoisierIsland		Tourism			2005	2006						-66.12	-66.44	0
